instance	language	mech	short	fence	live_ratio	boot_s	coverage	classified_pct	own_B	own_T	own_S	own_label	proc_B	proc_T	proc_S	proc_label	n_leaf	leaf_B	leaf_T	leaf_S	leaf_label	flags	n_receipts	top_procs
google__gson-1014	Java	J	google-t1014	185.0	1.16	0.0	99.8	99.0	0	100	0	T	0	100	0	T	261	30	34	36	M	call-step-mismatch(77v72)	8589	test-run=157.7  runtime=24.6  compile=0.6  other=0.3  search=0.2
google__gson-1093	Java	J	google-t1093	39.7	1.03	24.7	99.6	96.8	21	79	1	T	17	82	1	T	209	48	16	36	B		5460	test-run=29.5  compile=4.8  pkg=1.4  runtime=0.8  search=0.3
google__gson-1100	Java	J	google-t1100	28.8	1.06	0.0	100.2	96.4	7	92	1	T	7	92	1	T	178	18	38	44	M		5083	test-run=21.9  runtime=3.5  compile=2.0  search=0.3  vcs=0.1
google__gson-2024	Java	J	google-t2024	154.8	1.17	0.0	99.5	92.4	2	98	0	T	2	98	0	T	185	25	36	38	M	E7-consecutive-loop,call-step-mismatch(99v85)	310375	test-run=122.4  runtime=18.2  compile=2.1  other=0.3  search=0.1
google__gson-2134	Java	J	google-t2134	64.2	1.06	0.0	99.6	98.0	1	98	0	T	1	98	0	T	157	31	42	27	T		5691	test-run=50.5  runtime=11.3  compile=0.8  other=0.3  search=0.1
google__gson-2158	Java	J	google-t2158	226.5	1.17	0.0	99.4	94.4	2	98	0	T	2	98	0	T	510	27	31	41	M	E7-consecutive-loop,call-step-mismatch(167v154)	312697	test-run=176.0  runtime=33.4  compile=3.5  other=0.9  search=0.6
google__gson-2311	Java	J	google-t2311	50.4	1.05	0.0	99.1	77.1	10	89	1	T	10	89	1	T	222	14	16	70	S	call-step-mismatch(106v103)	309792	test-run=31.5  compile=3.8  runtime=3.2  search=0.4  vcs=0.1
google__gson-2479	Java	J	google-t2479	152.4	0.78	0.0	99.9	98.3	1	99	0	T	1	99	0	T	326	18	26	56	S		13087	test-run=122.5  runtime=25.9  compile=0.9  other=0.8  search=0.3
hashicorp__terraform-34580	Go	A	hashicorp-t34580	135.9	0.9	0.0	95.0	88.5	84	15	0	B	62	37	0	B	16624	25	74	1	T	E7-consecutive-loop,call-step-mismatch(139v119)	25393	compile=58.9  lint=44.5  build-drv=16.1  vcs=0.8  search=0.4
hashicorp__terraform-34814	Go	A	hashicorp-t34814	22.5	0.92	50.6	97.2	87.1	69	29	2	B	57	40	2	B	6843	40	57	2	T	call-step-mismatch(115v105)	15353	lint=6.7  compile=4.6  build-drv=3.8  pkg=1.8  vcs=0.8
hashicorp__terraform-34900	Go	A	hashicorp-t34900	331.4	1.16	0.0	96.3	93.2	76	23	1	B	84	16	1	B	21877	59	40	1	B	E7-consecutive-loop,call-step-mismatch(168v155)	37562	compile=228.6  build-drv=29.6  lint=26.2  test-run=22.4  vcs=2.3
hashicorp__terraform-35611	Go	A	hashicorp-t35611	369.3	1.23	0.0	98.7	95.8	24	76	0	T	78	21	0	B	28698	49	51	1	M	call-step-mismatch(191v167)	338160	compile=244.8  lint=58.5  build-drv=32.6  test-run=17.4  search=0.4
hashicorp__terraform-35543	Go	A	hashicorp-terraform-35543	11.9	4.98	0.0	98.4	4.7	0	0	100	?	0	0	100	?	198	0	0	100	?	E7-consecutive-loop,call-step-mismatch(110v107),mechanism-not-witnessed,replay-invalid(ratio=4.98)	310189	search=0.6  vcs=0.4  other=0.0
immutable-js__immutable-js-2005	TypeScript	N	immutable-js-t2005	717.5	1.42	0.0	90.6	90.3	0	100	0	T	0	100	0	T	3264	0	99	1	T		10479	runtime=410.1  test-run=237.7  search=0.0  vcs=0.0  other=0.0
immutable-js__immutable-js-2006	TypeScript	N	immutable-js-t2006	654.7	1.34	0.0	91.6	91.1	0	100	0	T	0	100	0	T	3782	0	97	3	T		14418	runtime=420.7  test-run=174.9  search=1.0  vcs=0.1  other=0.0
javaparser__javaparser-4538	Java	J	javaparser-t4538	192.9	1.15	0.0	99.9	98.8	1	99	0	T	1	99	0	T	164	20	36	45	M	call-step-mismatch(74v70)	8473	test-run=164.7  runtime=24.1  compile=1.3  other=0.7  search=0.4
javaparser__javaparser-4561	Java	J	javaparser-t4561	278.5	1.12	0.0	99.6	98.7	2	97	0	T	2	97	0	T	352	15	23	62	S	call-step-mismatch(151v146)	17369	test-run=230.0  runtime=37.5  compile=6.8  search=0.6  vcs=0.3
jekyll__jekyll-8047	Ruby	I	jekyll-t8047	11.0	1.01	0.0	101.4	90.1	0	96	4	?	0	96	4	?	198	0	79	21	T		5451	runtime=9.5  search=0.4  vcs=0.1  other=0.0  test-run=0.0
jekyll__jekyll-8167	Ruby	I	jekyll-t8167	17.6	0.98	0.0	100.9	93.5	7	93	0	T	7	93	0	T	274	1	74	24	T		6575	runtime=11.1  test-run=4.2  pkg=1.1  vcs=0.2  search=0.1
jekyll__jekyll-8761	Ruby	I	jekyll-t8761	340.4	0.85	0.0	99.7	98.6	1	99	0	T	1	99	0	T	2103	0	88	12	T		93031	runtime=319.2  test-run=10.8  pkg=4.2  vcs=1.9  search=0.5
jekyll__jekyll-8771	Ruby	I	jekyll-t8771	249.1	0.87	0.0	99.8	98.7	2	98	0	T	0	100	0	T	1640	0	89	11	T		75999	runtime=223.1  test-run=21.7  vcs=1.1  other=0.4  search=0.2
jekyll__jekyll-9141	Ruby	I	jekyll-t9141	82.5	1.03	0.0	99.9	95.4	0	100	0	T	0	100	0	T	702	0	62	38	T		41261	runtime=78.1  vcs=1.3  search=0.3  test-run=0.2  other=0.2
jordansissel__fpm-1829	Ruby	I	jordansissel-t1829	5.3	0.78	0.0	102.6	81.0	2	97	1	?	8	91	1	?	441	68	22	10	B		5583	runtime=2.0  test-run=1.3  compile=0.3  vcs=0.1  pkg=0.1
jordansissel__fpm-1850	Ruby	I	jordansissel-t1850	3.9	0.97	0.0	100.3	76.1	0	99	1	?	0	99	1	?	133	2	68	30	T		3124	runtime=2.9  vcs=0.1  search=0.0  pkg=0.0
jqlang__jq-2681	C	B	jqlang-X2681	29.0		3.0	96.8	91.4	87	13	0	B	29	47	24	T	10980	1	29	69	S		28320	test-run=8.2  search=5.3  compile=4.5  runtime=2.0  build-drv=1.1
jqlang__jq-2235	C	B	jqlang-t2235	13.2	0.61	2.5	98.1	64.6	38	49	14	?	31	52	17	?	2994	1	32	67	S		17437	vcs=2.4  runtime=2.3  test-run=1.9  compile=1.7  search=1.4
jqlang__jq-2598	C	B	jqlang-t2598	54.3	0.74	2.0	97.9	93.8	88	10	2	B	80	11	9	B	7233	9	13	77	S		31566	compile=33.2  search=4.0  test-run=3.0  runtime=2.0  build-drv=1.0
jqlang__jq-2650	C	B	jqlang-t2650	17.9	0.91	2.5	98.6	69.4	6	92	2	T	6	92	2	T	1733	0	78	22	T	E7-cyclic-loop,mechanism-not-witnessed	71893	runtime=10.7  test-run=0.7  pkg=0.7  search=0.3  vcs=0.1
jqlang__jq-2658	C	B	jqlang-t2658	10.8	0.56	3.0	97.6	80.8	37	48	14	?	31	51	18	?	2764	1	31	68	S		9359	test-run=2.8  compile=1.7  search=1.5  runtime=1.4  pkg=0.7
jqlang__jq-2728	C	B	jqlang-t2728	17.5	0.51	2.0	97.5	87.7	76	20	5	B	31	46	23	T	6099	2	30	69	S		28791	test-run=3.8  compile=3.1  search=3.0  runtime=2.2  pkg=0.7
jqlang__jq-2750	C	B	jqlang-t2750	5.4	1.0	2.0	102.9	65.4	21	77	2	?	21	77	2	?	358	1	82	18	T	E7-consecutive-loop,mechanism-not-witnessed	9650	runtime=2.5  pkg=0.7  test-run=0.2  vcs=0.1  search=0.1
jqlang__jq-2839	C	B	jqlang-t2839	10.3	0.81	2.0	100.2	56.3	13	82	6	?	13	82	6	?	601	0	69	30	T	call-step-mismatch(262v259),mechanism-not-witnessed	23525	runtime=4.6  vcs=1.5  pkg=0.7  search=0.3  test-run=0.1
jqlang__jq-2919	C	B	jqlang-t2919	14.7	0.41	2.0	96.9	75.6	14	59	27	?	12	60	28	?	6259	0	34	65	?	replay-invalid(ratio=0.41)	15222	test-run=4.7  search=3.0  runtime=1.9  pkg=0.8  compile=0.5
laravel__framework-51890	PHP	I	laravel-framework-51890	7.4	0.94	35.8	101.7	76.7	44	54	2	?	28	69	3	?	305	33	35	32	M	call-step-mismatch(106v96)	6587	runtime=3.0  pkg=1.2  vcs=0.5  search=0.1  other=0.0
laravel__framework-46234	PHP	I	laravel-t46234	3.6	0.81	0.0	104.9	45.5	0	82	18	?	0	82	18	?	132	0	35	65	S	call-step-mismatch(114v108)	6324	runtime=1.4  vcs=0.7  search=0.3
laravel__framework-48573	PHP	I	laravel-t48573	5.1	0.8	27.3	103.6	67.9	74	24	2	?	58	38	4	?	205	49	11	40	M	call-step-mismatch(85v82)	5013	pkg=1.2  runtime=0.8  vcs=0.6  search=0.1  other=0.1
laravel__framework-48636	PHP	I	laravel-t48636	2.1	0.87	0.0	110.1	47.8	1	81	18	?	1	81	18	?	79	4	23	73	S	call-step-mismatch(68v65)	3298	runtime=0.8  vcs=0.3  search=0.2  pkg=0.0
laravel__framework-51195	PHP	I	laravel-t51195	12.6	4.29	0.0	98.7	8.5	0	93	7	?	0	93	7	?	59	0	25	75	?	E7-consecutive-loop,call-step-mismatch(69v59),mechanism-not-witnessed,replay-invalid(ratio=4.29)	311275	runtime=1.0  vcs=0.6  search=0.1
laravel__framework-52451	PHP	I	laravel-t52451	10.5	0.96	58.0	101.8	78.6	31	66	3	?	18	78	4	?	400	25	40	34	M	call-step-mismatch(144v135)	10079	runtime=5.5  pkg=1.3  vcs=0.6  search=0.3  other=0.0
laravel__framework-52680	PHP	I	laravel-t52680	11.9	4.34	0.0	98.5	4.4	0	76	24	?	0	76	24	?	81	0	10	90	?	E7-consecutive-loop,call-step-mismatch(94v85),mechanism-not-witnessed,replay-invalid(ratio=4.34)	312209	vcs=0.4  runtime=0.4  search=0.1
laravel__framework-52684	PHP	I	laravel-t52684	4.7	0.79	20.7	104.4	72.3	73	25	2	?	57	39	4	?	171	50	13	36	B	call-step-mismatch(81v66)	4451	pkg=1.2  runtime=0.8  vcs=0.5  search=0.1  other=0.0
laravel__framework-52866	PHP	I	laravel-t52866	13.5	4.21	0.0	97.7	15.5	0	98	2	?	0	98	2	?	57	0	32	68	?	E7-consecutive-loop,call-step-mismatch(72v63),replay-invalid(ratio=4.21)	309475	runtime=2.0  vcs=0.3  search=0.0
laravel__framework-53206	PHP	I	laravel-t53206	14.6	2.37	0.0	98.2	20.4	0	94	6	?	0	94	6	?	129	0	22	78	?	E7-consecutive-loop,call-step-mismatch(130v111),replay-invalid(ratio=2.37)	309104	runtime=2.8  vcs=0.6  search=0.2
laravel__framework-53696	PHP	I	laravel-t53696	3.8	1.3	0.0	105.2	64.5	0	90	9	?	0	90	9	?	96	3	21	76	S	call-step-mismatch(94v86),mechanism-not-witnessed	4725	runtime=2.2  vcs=0.4  search=0.2  pkg=0.0
laravel__framework-53914	PHP	I	laravel-t53914	2.9	0.89	0.0	107.2	48.9	0	83	17	?	0	83	17	?	90	0	23	77	S	call-step-mismatch(79v75)	4086	runtime=1.2  vcs=0.5  search=0.2
laravel__framework-53949	PHP	I	laravel-t53949	4.1	0.98	14.6	105.4	77.6	81	17	2	?	67	29	4	?	175	58	12	30	B	mechanism-not-witnessed	3487	pkg=1.3  runtime=0.5  vcs=0.3  search=0.1  other=0.0
micropython__micropython-10095	C	B	micropython-t10095	11.1	0.6	3.0	97.8	55.6	12	77	12	?	12	77	12	?	1347	0	43	57	S	E7-consecutive-loop,mechanism-not-witnessed	23828	runtime=4.7  vcs=1.5  pkg=0.7  search=0.7  test-run=0.1
micropython__micropython-12158	C	B	micropython-t12158	43.6	0.88	2.5	65.5	60.2	39	61	1	T	36	63	1	T	3459	9	84	7	T		13022	test-run=8.9  compile=8.2  runtime=7.3  pkg=0.7  vcs=0.6
micropython__micropython-13039	C	B	micropython-t13039	16.9	0.8	3.0	99.3	90.7	71	29	0	B	67	32	1	B	1961	19	69	12	T		8520	compile=8.9  runtime=4.2  pkg=0.7  vcs=0.7  test-run=0.4
micropython__micropython-13569	C	B	micropython-t13569	30.5	0.47	3.0	97.3	88.9	17	82	1	?	13	86	1	?	7107	1	96	3	?	replay-invalid(ratio=0.47)	16644	runtime=20.3  test-run=2.8  compile=2.4  vcs=1.0  pkg=0.7
micropython__micropython-15898	C	B	micropython-t15898	12.3	0.32	3.0	98.5	86.3	24	75	1	?	18	81	1	?	2512	1	97	2	?	call-step-mismatch(54v51),replay-invalid(ratio=0.32)	6666	runtime=7.6  test-run=0.9  vcs=0.8  pkg=0.7  compile=0.7
mrdoob__three.js-25687	JavaScript	N	mrdoob-t25687	7.4	1.21	0.0	102.9	63.1	0	99	1	?	0	99	1	?	225	0	76	24	T	call-step-mismatch(51v48)	3379	runtime=4.2  vcs=2.1  test-run=0.4  search=0.0  other=0.0
mrdoob__three.js-26589	JavaScript	N	mrdoob-t26589	17.5	0.99	0.0	100.5	77.6	0	97	3	T	0	97	3	T	575	0	85	15	T		9411	runtime=12.2  vcs=2.3  test-run=0.9  search=0.5  other=0.0
mrdoob__three.js-27395	JavaScript	N	mrdoob-t27395	12.0	1.12	0.0	101.3	61.1	0	97	3	?	0	97	3	?	352	0	83	17	T		6111	runtime=6.6  vcs=2.3  test-run=0.5  search=0.2
nlohmann__json-4237	C++	B	nlohmann-t4237	624.4	1.17	2.5	99.7	99.5	60	40	0	B	60	40	0	B	1366	70	20	10	B		29293	compile=365.5  test-run=244.0  build-drv=5.0  vcs=2.8  runtime=2.6
nushell__nushell-12901	Rust	A	nushell-t12901	1045.4	1.07	0.0	99.2	98.7	37	54	9	T	78	12	9	B	6517	47	45	8	M		160639	compile=790.2  test-run=122.3  search=93.5  other=11.8  build-drv=9.3  runtime=5.0
nushell__nushell-12950	Rust	A	nushell-t12950	531.5	1.12	0.0	99.6	99.2	63	37	0	B	96	4	0	B	2267	83	14	3	B		39672	compile=502.2  test-run=19.5  build-drv=3.6  runtime=1.5  other=0.6
nushell__nushell-13246	Rust	A	nushell-t13246	39.3	0.97	0.0	99.9	97.5	32	68	0	T	94	6	0	B	164	20	62	18	T		8290	compile=35.1  test-run=1.3  runtime=0.9  build-drv=0.8  other=0.2
nushell__nushell-13605	Rust	A	nushell-t13605	11.2	0.83	0.0	99.1	56.7	0	94	6	?	0	94	6	?	888	0	51	49	M	E7-consecutive-loop,E7-cyclic-loop,mechanism-not-witnessed	64976	runtime=6.0  search=0.4  vcs=0.1
nushell__nushell-13831	Rust	A	nushell-t13831	341.3	1.18	0.0	99.7	99.3	33	67	0	T	97	3	0	B	1328	62	34	4	B		28507	compile=325.3  test-run=7.8  build-drv=2.9  runtime=1.3  lint=1.0
php-cs-fixer__php-cs-fixer-7523	PHP	I	php-cs-fixer-X7523	81.0		0.0	96.7	93.4	0	100	0	T	0	100	0	T	8531	0	98	2	T		29438	runtime=75.4  vcs=0.6  search=0.3
php-cs-fixer__php-cs-fixer-7635	PHP	I	php-cs-fixer-t7635	17.8	0.97	0.0	97.9	88.9	0	99	1	T	0	99	1	T	1797	0	96	4	T	call-step-mismatch(98v88)	9107	runtime=15.6  vcs=0.4  search=0.2
php-cs-fixer__php-cs-fixer-7663	PHP	I	php-cs-fixer-t7663	11.4	4.65	0.0	96.6	1.8	0	30	70	?	0	30	70	?	134	0	4	96	?	E7-consecutive-loop,replay-invalid(ratio=4.65)	308948	search=0.1  vcs=0.1  runtime=0.1
php-cs-fixer__php-cs-fixer-7875	PHP	I	php-cs-fixer-t7875	44.9	1.0	12.1	98.0	94.4	6	94	0	T	3	97	0	T	3509	3	95	2	T		14481	runtime=39.7  pkg=1.2  vcs=0.3  search=0.1  other=0.0
php-cs-fixer__php-cs-fixer-7998	PHP	I	php-cs-fixer-t7998	29.5	1.38	0.0	96.5	59.4	0	99	1	T	0	99	1	T	1763	0	94	6	T	E7-consecutive-loop,call-step-mismatch(140v127)	310793	runtime=17.4  vcs=0.3  search=0.1
php-cs-fixer__php-cs-fixer-8064	PHP	I	php-cs-fixer-t8064	42.4	0.98	0.0	96.9	91.8	0	99	1	T	0	99	1	T	4292	0	97	3	T	call-step-mismatch(149v142)	18938	runtime=38.6  search=0.3  vcs=0.2
php-cs-fixer__php-cs-fixer-8075	PHP	I	php-cs-fixer-t8075	21.9	0.96	0.0	98.2	91.7	0	99	1	T	0	99	1	T	1815	0	96	4	T	call-step-mismatch(76v73)	8738	runtime=19.9  vcs=0.3  search=0.2  pkg=0.0
php-cs-fixer__php-cs-fixer-8256	PHP	I	php-cs-fixer-t8256	54.8	1.01	84.9	98.1	95.4	5	95	0	T	2	97	0	T	3646	2	95	3	T	call-step-mismatch(92v88)	16885	runtime=49.7  pkg=1.2  vcs=0.2  search=0.1  other=0.0
php-cs-fixer__php-cs-fixer-8331	PHP	I	php-cs-fixer-t8331	47.8	0.97	0.0	96.5	91.9	0	99	1	T	0	99	1	T	5022	0	98	2	T	call-step-mismatch(127v123)	19212	runtime=43.7  vcs=0.5  search=0.2  pkg=0.0
php-cs-fixer__php-cs-fixer-8367	PHP	I	php-cs-fixer-t8367	11.2	10.57	0.0	97.7	1.6	0	0	100	?	0	0	100	?	102	0	0	100	?	E7-consecutive-loop,replay-invalid(ratio=10.57)	308794	search=0.2  vcs=0.1
phpoffice__phpspreadsheet-3940	PHP	I	phpoffice-X3940	137.2		0.0	99.3	91.3	0	100	0	T	0	100	0	T	1192	0	82	18	T		312521	runtime=124.3  vcs=0.8  search=0.4  other=0.0
phpoffice__phpspreadsheet-3463	PHP	I	phpoffice-t3463	11.6	0.92	37.4	101.3	86.5	25	73	1	T	14	84	2	?	230	45	17	38	M	call-step-mismatch(93v87)	7266	runtime=7.4  pkg=1.2  vcs=0.4  search=0.1  other=0.1
phpoffice__phpspreadsheet-3469	PHP	I	phpoffice-t3469	104.6	1.08	0.0	99.2	88.8	0	100	0	T	0	100	0	T	1027	0	85	15	T	E7-consecutive-loop,call-step-mismatch(199v185)	312348	runtime=92.1  vcs=0.6  search=0.3
phpoffice__phpspreadsheet-3570	PHP	I	phpoffice-t3570	15.7	2.47	0.0	98.3	27.8	0	97	3	?	0	97	3	?	78	0	27	73	?	E7-consecutive-loop,call-step-mismatch(96v85),replay-invalid(ratio=2.47)	309124	runtime=4.3  vcs=0.4  search=0.1
phpoffice__phpspreadsheet-3659	PHP	I	phpoffice-t3659	12.6	0.96	45.9	101.0	86.8	22	76	2	T	12	86	2	?	239	36	17	47	S	call-step-mismatch(124v117)	7793	runtime=8.3  pkg=1.2  vcs=0.3  search=0.2  other=0.0
phpoffice__phpspreadsheet-3903	PHP	I	phpoffice-t3903	59.9	0.99	87.0	99.7	96.6	9	91	0	T	7	93	1	T	1148	11	34	55	S	call-step-mismatch(100v96)	15007	runtime=52.2  pkg=3.7  vcs=0.5  search=0.4  other=0.1
phpoffice__phpspreadsheet-4114	PHP	I	phpoffice-t4114	4.0	0.83	0.0	104.8	67.5	0	89	11	?	0	89	11	?	98	0	36	64	S	call-step-mismatch(94v83)	4659	runtime=2.4  search=0.3  vcs=0.3
phpoffice__phpspreadsheet-4186	PHP	I	phpoffice-t4186	41.1	1.01	66.6	100.4	96.2	78	21	1	B	78	22	1	B	229	39	14	47	M	call-step-mismatch(106v98)	10393	pkg=29.7  runtime=8.2  vcs=0.4  search=0.4  other=0.0
phpoffice__phpspreadsheet-4214	PHP	I	phpoffice-t4214	39.8	0.95	0.0	100.0	95.0	0	99	1	T	0	99	1	T	429	0	77	23	T	call-step-mismatch(114v109)	11317	runtime=37.5  vcs=0.5  search=0.3
phpoffice__phpspreadsheet-4313	PHP	I	phpoffice-t4313	34.5	1.12	0.0	99.0	67.6	0	99	1	T	0	99	1	T	271	0	34	66	S	E7-consecutive-loop,call-step-mismatch(166v153)	309254	runtime=23.0  vcs=0.4  search=0.3
preactjs__preact-4152	JavaScript	N	preactjs-X4152	194.0		0.0	98.6	97.4	10	90	0	T	10	90	0	T	7351	10	86	4	T		31491	runtime=145.5  test-run=24.6  compile=18.4  search=0.4  other=0.2
preactjs__preact-2757	JavaScript	N	preactjs-t2757	71.5	1.07	0.0	89.3	84.2	0	100	0	T	0	100	0	T	435	0	77	23	T		7896	runtime=42.3  test-run=17.8  other=1.1  search=0.1  vcs=0.1
preactjs__preact-2896	JavaScript	N	preactjs-t2896	64.9	1.06	0.0	98.9	96.7	0	100	0	T	0	100	0	T	540	0	80	20	T		13049	runtime=48.9  test-run=13.8  vcs=0.1  other=0.1  search=0.1
preactjs__preact-2927	JavaScript	N	preactjs-t2927	42.2	1.06	0.0	87.5	82.3	9	91	1	T	10	90	1	T	527	30	53	17	T		6448	runtime=19.1  test-run=12.0  compile=3.4  other=0.5  search=0.2
preactjs__preact-3010	JavaScript	N	preactjs-t3010	63.6	1.03	0.0	91.3	88.4	5	94	0	T	5	94	0	T	1098	17	72	11	T		12953	runtime=38.9  test-run=14.1  compile=3.0  search=0.1  vcs=0.1
preactjs__preact-3062	JavaScript	N	preactjs-t3062	25.0	1.05	0.0	99.2	94.6	11	87	2	T	11	87	2	T	602	29	58	13	T		6934	runtime=13.9  test-run=6.6  compile=2.7  search=0.4  vcs=0.1
preactjs__preact-3345	JavaScript	N	preactjs-t3345	85.8	1.11	0.0	98.4	96.1	8	92	0	T	8	92	0	T	2272	36	55	9	T		21128	runtime=46.7  test-run=29.0  compile=6.3  vcs=0.2  other=0.2
preactjs__preact-3454	JavaScript	N	preactjs-t3454	30.6	1.03	0.0	56.7	47.4	4	96	0	?	4	96	0	?	156	0	77	23	T		2170	test-run=9.0  runtime=4.9  compile=0.5  other=0.4  vcs=0.1
preactjs__preact-3562	JavaScript	N	preactjs-t3562	64.8	1.09	0.0	82.0	76.5	8	91	0	T	8	91	0	T	934	35	55	10	T		8651	test-run=24.4  runtime=20.9  compile=4.1  other=0.7  search=0.1
preactjs__preact-3567	JavaScript	N	preactjs-t3567	135.1	1.07	0.0	86.1	83.1	12	88	0	T	12	88	0	T	1884	35	56	9	T		18077	runtime=60.2  test-run=38.3  compile=13.4  other=0.9  vcs=0.2
preactjs__preact-3689	JavaScript	N	preactjs-t3689	25.1	1.05	0.0	98.9	93.2	6	93	1	T	6	93	1	T	665	31	47	23	T		8363	runtime=16.2  test-run=5.4  compile=1.4  search=0.3  vcs=0.1
preactjs__preact-3739	JavaScript	N	preactjs-t3739	86.0	1.08	0.0	98.7	96.4	9	90	0	T	9	90	0	T	2567	28	64	8	T		20069	runtime=50.5  test-run=24.3  compile=7.8  search=0.2  vcs=0.2
preactjs__preact-3763	JavaScript	N	preactjs-t3763	49.7	1.14	0.0	98.5	96.5	8	92	0	T	8	92	0	T	1115	40	50	10	M		9762	runtime=28.6  test-run=15.3  compile=3.9  other=0.1  search=0.1
preactjs__preact-4182	JavaScript	N	preactjs-t4182	71.1	1.09	0.0	98.6	95.9	12	88	0	T	12	88	0	T	1337	45	43	12	M		16023	runtime=42.6  test-run=17.0  compile=8.3  vcs=0.2  search=0.2
preactjs__preact-4245	JavaScript	N	preactjs-t4245	133.3	1.12	0.0	98.4	96.7	7	93	1	T	7	93	1	T	4002	24	68	7	T	call-step-mismatch(177v174)	29111	runtime=85.6  test-run=33.4  compile=8.8  search=0.8  other=0.3
preactjs__preact-4316	JavaScript	N	preactjs-t4316	27.1	1.0	0.0	99.7	94.8	13	86	1	T	13	86	1	T	565	21	64	15	T		7224	runtime=17.2  test-run=4.9  compile=3.2  search=0.3  vcs=0.1
preactjs__preact-4436	JavaScript	N	preactjs-t4436	147.1	1.06	0.0	98.7	97.0	14	86	0	T	14	86	0	T	4391	12	84	4	T		26924	runtime=98.2  test-run=23.6  compile=20.4  vcs=0.5  other=0.3
projectlombok__lombok-2792	Java	J	projectlombok-t2792	376.3	1.06	0.0	99.8	99.1	0	100	0	T	0	100	0	T	346	2	24	74	S		26368	test-run=286.4  runtime=85.3  compile=0.8  search=0.5  other=0.3
projectlombok__lombok-3009	Java	J	projectlombok-t3009	538.4	1.08	281.8	99.6	99.0	1	99	0	T	1	99	0	T	654	14	10	76	S	call-step-mismatch(203v192)	43867	test-run=338.1  runtime=188.9  compile=2.2  pkg=1.4  search=0.7
projectlombok__lombok-3042	Java	J	projectlombok-t3042	321.1	1.13	0.0	99.7	96.2	1	98	0	T	1	98	0	T	400	7	13	80	S	E7-consecutive-loop,call-step-mismatch(196v180)	312244	test-run=250.9  runtime=52.9  compile=4.4  search=0.7  vcs=0.2
projectlombok__lombok-3052	Java	J	projectlombok-t3052	354.8	1.11	0.0	99.8	99.1	2	97	0	T	2	97	0	T	435	13	20	67	S	call-step-mismatch(173v169)	22356	test-run=282.8  runtime=59.5  compile=8.6  search=0.6  vcs=0.3
projectlombok__lombok-3215	Java	J	projectlombok-t3215	485.1	1.1	0.0	99.7	99.1	1	99	0	T	1	99	0	T	408	8	22	70	S	call-step-mismatch(160v156)	33764	test-run=381.1  runtime=93.6  compile=5.6  search=0.6  other=0.4
projectlombok__lombok-3312	Java	J	projectlombok-t3312	626.7	1.13	0.0	99.7	99.0	1	99	0	T	1	99	0	T	898	4	16	80	S	call-step-mismatch(214v211)	38772	test-run=493.7  runtime=120.6  compile=4.9  search=1.3  vcs=0.3
projectlombok__lombok-3326	Java	J	projectlombok-t3326	196.4	1.06	0.0	98.9	93.2	0	82	18	T	0	82	18	T	1259	0	0	99	S		317760	test-run=146.7  search=33.3  runtime=2.8  compile=0.3  other=0.2
projectlombok__lombok-3350	Java	J	projectlombok-t3350	11.5		0.0	97.8	3.8	0	0	100	?	0	0	100	?	46	0	0	100	S	E7-consecutive-loop	308678	search=0.4  vcs=0.1
projectlombok__lombok-3371	Java	J	projectlombok-t3371	974.4	1.16	0.0	99.6	99.0	1	99	0	T	1	99	0	T	1185	6	30	64	S		63243	test-run=776.7  runtime=179.2  compile=7.3  search=1.5  other=0.7
projectlombok__lombok-3422	Java	J	projectlombok-t3422	502.5	1.13	0.0	99.7	99.2	1	99	0	T	1	99	0	T	420	5	25	70	S	call-step-mismatch(169v163)	26985	test-run=403.5  runtime=91.0  compile=3.1  search=1.0  vcs=0.3
projectlombok__lombok-3479	Java	J	projectlombok-t3479	210.4	1.05	0.0	99.7	98.4	2	98	1	T	2	98	1	T	437	6	13	81	S	call-step-mismatch(185v180)	20971	test-run=158.7  runtime=43.6  compile=3.5  search=1.2  vcs=0.2
projectlombok__lombok-3486	Java	J	projectlombok-t3486	26.6	1.15	0.0	100.1	95.0	0	99	1	T	0	99	1	T	143	0	5	95	S		16250	test-run=21.2  runtime=3.8  search=0.2  vcs=0.1  other=0.0
projectlombok__lombok-3571	Java	J	projectlombok-t3571	16.2	1.05	0.0	101.1	95.4	6	93	1	T	6	93	1	T	88	9	10	81	S		12291	test-run=12.3  runtime=2.1  compile=1.0  search=0.1  vcs=0.1
projectlombok__lombok-3594	Java	J	projectlombok-t3594	1491.6	1.08	0.0	99.8	99.5	1	99	0	T	1	99	0	T	1077	5	45	50	M	call-step-mismatch(247v244)	72602	test-run=1182.4  runtime=291.8  compile=9.1  search=1.1  other=0.8
projectlombok__lombok-3602	Java	J	projectlombok-t3602	44.9	0.94	0.0	99.4	94.7	13	82	5	T	13	82	5	T	421	12	14	74	S	call-step-mismatch(136v133)	10930	test-run=31.3  compile=5.5  runtime=3.6  search=2.2  vcs=0.2
projectlombok__lombok-3674	Java	J	projectlombok-t3674	16.2	1.04	0.0	101.5	93.7	2	95	3	T	2	95	3	T	75	3	4	93	S		17073	test-run=12.5  runtime=1.9  search=0.4  compile=0.3  vcs=0.1
