when	instance	language	mech	status	realized	mix	support	other_pct	steps	uniq_frac	longest_run	flags	wall_s	tool_cs_raw	tool_cs_corr	harness_cs	proxy_cs	magnitude_bin	witness_cov	tokens_sent	tokens_received	api_calls	exit_status	detail
2026-08-12.23:11:44	redis__redis-13338	C	B	classified	S	S=80% E=11% T=0% B=9%	46	22.0	59	0.966	1	call-step-mismatch(62v59)	481.2	89.38	89.38	4.37	1.46	large	0.013	1565007	5470	62	submitted	
2026-08-12.23:28:10	gohugoio__hugo-12343	Go	A	classified	S	S=73% E=5% T=17% B=5%	111	15.3	131	0.939	3	call-step-mismatch(138v131)	852.5	418.93	418.93	26.2	4.36	large	0.11	5243746	9109	138	submitted	
2026-08-12.23:42:50	javaparser__javaparser-4561	Java	J	classified	S	S=80% E=2% T=2% B=17%	127	13.0	146	0.925	3	call-step-mismatch(151v146)	817.5	248.72	248.72	32.92	4.83	large	0.055	4663519	6823	151	submitted	
2026-08-13.00:08:54	preactjs__preact-3739	JavaScript	N	classified	S	S=94% E=4% T=2% B=0%	116	15.3	137	0.971	1		1428.6	79.36	79.36	30.27	4.86	large	0.022	9916486	13908	139	submitted	
2026-08-13.00:19:07	php-cs-fixer__php-cs-fixer-7875	PHP	I	classified	S	S=54% E=12% T=32% B=3%	76	17.4	92	0.957	1		503.8	44.95	41.74	9.76	2.17	measurable	0.079	2729663	3574	93	submitted	
2026-08-13.00:52:44	jekyll__jekyll-8761	Ruby	I	classified	S	S=88% E=11% T=0% B=0%	203	11.0	228	0.895	1		1964.2	401.42	401.42	111.95	10.57	large	0.306	14168327	34571	229	submitted	
2026-08-13.01:05:51	tokio-rs__axum-1730	Rust	A	classified	S	S=74% E=7% T=12% B=6%	81	13.8	94	0.979	1		652.7	430.84	430.84	12.3	2.59	large	0.111	4933372	4901	94	submitted	
2026-08-13.01:22:27	redis__redis-9733	C	B	classified	S	S=82% E=14% T=0% B=4%	120	21.1	152	0.934	1		873.7	38.98	38.98	35.1	4.87	measurable	0.009	6984078	12820	154	submitted	
2026-08-13.02:04:58	gohugoio__hugo-12448	Go	A	classified	S	S=79% E=11% T=8% B=3%	261	8.7	286	0.993	1		2491.9	442.1	442.1	207.87	15.61	large	0.055	19594874	30736	286		
2026-08-13.02:25:30	projectlombok__lombok-2792	Java	J	classified	S	S=88% E=5% T=4% B=2%	139	9.7	154	0.968	1		1096.2	353.47	353.47	37.87	5.41	large	0.083	7651321	9563	155	submitted	
2026-08-13.02:31:04	preactjs__preact-3763	JavaScript	N	classified	S	S=96% E=2% T=2% B=0%	48	12.7	55	0.964	1		261.4	43.57	43.57	3.38	1.05	measurable	0.073	1245081	2127	56	submitted	
2026-08-13.02:46:49	php-cs-fixer__php-cs-fixer-7998	PHP	I	classified	M	S=51% E=1% T=48% B=0%	97	23.6	127	0.85	13	E7-consecutive-loop,call-step-mismatch(140v127)	810.5	21.32	21.32	20.79	3.83	measurable	0.024	4043777	17737	139		
2026-08-13.03:13:44	jekyll__jekyll-8771	Ruby	I	classified	S	S=83% E=11% T=6% B=0%	150	16.2	179	0.966	1		1495.9	285.06	285.06	61.35	7.12	large	0.314	11624347	8825	180	submitted	
2026-08-13.03:42:08	tokio-rs__axum-1934	Rust	A	classified	S	S=80% E=7% T=10% B=3%	198	17.5	240	0.988	1		1561.2	629.52	629.52	116.58	10.45	large	0.063	11672870	2872	242	submitted	
2026-08-13.03:52:33	valkey-io__valkey-1499	C	B	classified	S	S=100% E=0% T=0% B=0%	94	10.5	105	0.895	11	mechanism-not-witnessed	410.2	5.15	5.15	11.86	2.47	below-floor	0.0	1827969	14	106		
2026-08-13.04:07:46	gohugoio__hugo-12562	Go	A	classified	S	S=74% E=4% T=18% B=4%	96	15.8	114	0.877	3	call-step-mismatch(124v114)	849.6	283.03	283.03	16.24	3.38	large	0.108	3401037	8639	124	submitted	
2026-08-13.04:34:12	projectlombok__lombok-3009	Java	J	classified	S	S=84% E=4% T=7% B=5%	167	13.0	192	0.896	10	call-step-mismatch(203v192)	1467.9	498.86	498.86	59.36	7.33	large	0.126	7584849	18330	203	submitted	
2026-08-13.04:53:16	preactjs__preact-4182	JavaScript	N	classified	S	S=93% E=5% T=3% B=0%	107	12.3	122	0.984	1		1014.2	65.06	65.06	27.35	3.97	large	0.026	14640285	10916	123	submitted	
2026-08-13.05:13:00	php-cs-fixer__php-cs-fixer-8064	PHP	I	classified	M	S=45% E=2% T=53% B=0%	124	12.7	142	0.93	3	call-step-mismatch(149v142)	1133.7	43.31	43.31	27.92	4.59	measurable	0.037	5748993	7048	149	submitted	
2026-08-13.05:48:46	jekyll__jekyll-9141	Ruby	I	classified	S	S=98% E=2% T=0% B=0%	159	12.6	182	0.978	1		2026.2	79.95	79.95	56.05	7.32	large	0.089	11785775	49597	183	submitted	
2026-08-13.06:11:43	tokio-rs__axum-2096	Rust	A	classified	S	S=60% E=11% T=26% B=3%	105	11.8	119	0.95	1		1247.8	448.53	448.53	20.51	3.8	large	0.077	7411388	13914	120	submitted	
2026-08-13.06:26:37	valkey-io__valkey-1842	C	B	classified	S	S=98% E=1% T=0% B=1%	93	17.0	112	0.964	2		773.3	313.74	313.74	14.81	2.94	large	0.005	3647819	2714	113	submitted	
2026-08-13.06:36:15	gohugoio__hugo-12579	Go	A	classified	S	S=69% E=2% T=17% B=12%	59	11.9	67	0.896	1		516.8	317.66	317.66	4.88	1.56	large	0.069	1493989	4004	69	submitted	
2026-08-13.06:58:07	projectlombok__lombok-3042	Java	J	classified	S	S=78% E=2% T=11% B=9%	150	16.7	180	0.867	13	E7-consecutive-loop,call-step-mismatch(196v180)	1100.7	283.54	283.54	48.89	6.46	large	0.057	5658864	14941	195		
2026-08-13.07:24:50	preactjs__preact-4245	JavaScript	N	classified	S	S=94% E=2% T=4% B=0%	158	9.2	174	0.983	1	call-step-mismatch(177v174)	1539.4	118.64	118.64	52.66	6.45	large	0.032	14453545	30163	177	submitted	
2026-08-13.07:35:49	php-cs-fixer__php-cs-fixer-8075	PHP	I	classified	S	S=58% E=2% T=39% B=2%	59	19.2	73	0.904	1	call-step-mismatch(76v73)	541.3	22.87	22.87	6.02	1.72	measurable	0.039	1477980	4112	76	submitted	
2026-08-13.07:43:30	jordansissel__fpm-1829	Ruby	I	classified	S	S=75% E=5% T=20% B=0%	55	19.1	68	0.985	1		344.9	6.77	6.77	5.15	1.38	below-floor	0.023	2110859	2300	69	submitted	
2026-08-13.08:00:59	tokio-rs__axum-682	Rust	A	classified	S	S=64% E=19% T=12% B=5%	95	15.9	113	0.982	1		985.6	148.56	148.56	15.5	3.25	large	0.047	3457695	6400	113	submitted	
2026-08-13.08:19:53	valkey-io__valkey-790	C	B	classified	S	S=94% E=3% T=0% B=3%	69	21.6	88	0.966	1		1080.2	149.87	149.87	9.45	2.6	large	0.003	3280550	2751	88	submitted	
2026-08-13.08:28:51	gohugoio__hugo-12768	Go	A	classified	S	S=53% E=11% T=37% B=0%	19	45.7	35	0.657	12	E7-consecutive-loop,call-step-mismatch(45v35)	320.2	74.56	74.56	1.55	0.89	large	0.025	545823	5494	44		
2026-08-13.08:54:46	projectlombok__lombok-3052	Java	J	classified	S	S=79% E=3% T=1% B=16%	147	13.0	169	0.947	2	call-step-mismatch(173v169)	1498.3	319.84	319.84	46.91	6.39	large	0.047	6073604	7424	173	submitted	
2026-08-13.09:06:41	preactjs__preact-4316	JavaScript	N	classified	S	S=82% E=7% T=11% B=0%	72	14.3	84	0.929	1		566.4	27.2	27.2	7.68	1.98	measurable	0.02	2170971	3212	84	submitted	
2026-08-13.09:22:06	php-cs-fixer__php-cs-fixer-8256	PHP	I	classified	M	S=49% E=3% T=45% B=3%	73	17.0	88	0.92	2	call-step-mismatch(92v88)	809.7	54.16	54.16	8.89	2.44	measurable	0.065	2129821	15004	92	submitted	
2026-08-13.09:28:39	jordansissel__fpm-1850	Ruby	I	classified	S	S=84% E=2% T=14% B=0%	44	13.7	51	0.941	1		339.7	4.01	4.01	2.8	1.06	below-floor	0.007	774347	1549	53	submitted	
2026-08-13.10:06:22	tokio-rs__axum-691	Rust	A	classified	S	S=48% E=18% T=33% B=1%	165	4.1	172	0.843	1		2201.8	607.99	607.99	51.08	6.78	large	0.057	11898234	25210	172	submitted	
2026-08-13.10:50:03	valkey-io__valkey-928	C	B	classified	S	S=97% E=1% T=0% B=2%	189	10.0	210	0.981	2		2491.7	79.72	79.72	79.26	8.77	large	0.003	15042146	620	211		
2026-08-13.11:11:56	hashicorp__terraform-34580	Go	A	classified	S	S=79% E=4% T=10% B=7%	73	38.7	119	0.681	12	E7-consecutive-loop,call-step-mismatch(139v119)	1060.7	150.62	150.62	19.85	3.91	large	0.024	4675185	10050	138		
2026-08-13.11:43:23	projectlombok__lombok-3215	Java	J	classified	S	S=86% E=1% T=0% B=13%	137	12.2	156	0.955	3	call-step-mismatch(160v156)	1764.7	439.15	439.15	36.86	5.71	large	0.06	7490844	8468	160	submitted	
2026-08-13.12:08:18	preactjs__preact-4436	JavaScript	N	classified	S	S=95% E=2% T=3% B=0%	149	9.1	164	0.945	1		1363.8	138.41	138.41	45.52	5.68	large	0.039	12472553	8221	166	submitted	
2026-08-13.12:29:03	php-cs-fixer__php-cs-fixer-8331	PHP	I	classified	S	S=58% E=1% T=41% B=0%	93	24.4	123	0.902	2	call-step-mismatch(127v123)	1133.8	49.11	49.11	19.3	3.71	measurable	0.044	3503433	7949	127	submitted	
2026-08-13.12:42:24	rubocop__rubocop-13362	Ruby	I	classified	S	S=78% E=4% T=18% B=0%	103	12.7	118	0.941	1		748.3	49.22	49.22	16.18	3.07	measurable	0.058	2754708	5962	120	submitted	
2026-08-13.13:21:22	tokio-rs__axum-734	Rust	A	classified	S	S=59% E=13% T=20% B=8%	222	8.6	243	0.893	2		2214.3	1141.05	1141.05	126.1	10.58	large	0.078	22207859	29495	243	submitted	
2026-08-13.13:44:13	hashicorp__terraform-34814	Go	A	classified	S	S=81% E=1% T=11% B=7%	84	20.0	105	0.895	4	call-step-mismatch(115v105)	1247.0	24.5	24.5	16.24	3.41	measurable	0.013	6157860	8417	115	submitted	
2026-08-13.14:13:08	projectlombok__lombok-3312	Java	J	classified	S	S=87% E=1% T=4% B=9%	186	11.8	211	0.872	2	call-step-mismatch(214v211)	1608.8	553.41	553.41	79.03	8.05	large	0.074	10238169	14732	214	submitted	
2026-08-13.14:20:22	php-cs-fixer__php-cs-fixer-8367	PHP	I	classified	S	S=100% E=0% T=0% B=0%	56	5.1	59	0.627	13	E7-consecutive-loop	230.1	1.06	1.06	3.14	1.09	below-floor	0.002	806703	19	60		
2026-08-13.14:31:47	rubocop__rubocop-13375	Ruby	I	classified	S	S=58% E=11% T=31% B=0%	71	16.5	85	0.906	1		626.6	90.08	90.08	8.52	2.13	large	0.133	1837360	3676	86	submitted	
2026-08-13.14:53:58	tokio-rs__tokio-4384	Rust	A	classified	S	S=62% E=10% T=20% B=8%	165	7.8	179	0.922	1		1273.5	944.82	944.82	51.4	6.14	large	0.066	10476089	23858	180	submitted	
2026-08-13.15:17:49	hashicorp__terraform-34900	Go	A	classified	S	S=80% E=2% T=14% B=4%	119	23.2	155	0.89	12	E7-consecutive-loop,call-step-mismatch(168v155)	1200.8	285.81	285.81	38.64	5.62	large	0.072	11868329	11063	167		
2026-08-13.15:51:23	projectlombok__lombok-3326	Java	J	classified	S	S=98% E=0% T=1% B=1%	302	2.6	310	0.945	11		1801.2	185.34	185.34	218.13	14.58	large	0.023	24005013	131	311		
2026-08-13.16:07:55	phpoffice__phpspreadsheet-3463	PHP	I	classified	T	S=28% E=6% T=63% B=3%	68	21.8	87	0.885	4	call-step-mismatch(93v87)	879.9	12.65	12.65	8.42	2.49	measurable	0.007	1550285	6237	93	submitted	
2026-08-13.16:16:13	rubocop__rubocop-13393	Ruby	I	classified	S	S=64% E=5% T=31% B=0%	64	16.9	77	0.935	1		375.3	16.59	16.59	6.03	1.62	measurable	0.043	1368929	3987	79	submitted	
2026-08-13.16:37:41	tokio-rs__tokio-4867	Rust	A	classified	S	S=60% E=11% T=26% B=3%	100	7.4	108	0.954	1		1223.9	323.48	323.48	15.52	3.45	large	0.044	5071138	12032	110	submitted	
2026-08-13.17:08:32	hashicorp__terraform-35611	Go	A	classified	S	S=80% E=4% T=13% B=3%	134	19.8	167	0.826	11	call-step-mismatch(191v167)	1631.2	299.52	299.52	54.21	7.16	large	0.033	18049085	27121	190		
2026-08-13.17:14:06	projectlombok__lombok-3350	Java	J	classified	S	S=100% E=0% T=0% B=0%	37	0.0	37	0.541	17	E7-consecutive-loop	120.1	0.95	0.95	1.32	0.58	below-floor	0.004	538844	16	38		
2026-08-13.17:40:03	phpoffice__phpspreadsheet-3469	PHP	I	classified	S	S=64% E=1% T=34% B=0%	137	25.9	185	0.827	16	E7-consecutive-loop,call-step-mismatch(199v185)	1420.9	97.25	97.25	55.52	6.96	large	0.064	9128542	24992	198		
2026-08-13.18:01:01	rubocop__rubocop-13396	Ruby	I	classified	S	S=96% E=0% T=4% B=0%	185	3.6	192	0.943	11		1020.6	47.18	47.18	57.57	6.34	measurable	0.004	9549367	51	193		
2026-08-13.18:03:43	tokio-rs__tokio-4898	Rust	A	classified	T	S=35% E=6% T=53% B=6%	17	10.5	19	0.947	2	call-step-mismatch(22v19)	96.8	98.4	98.4	0.8	0.25	large	0.146	120884	1026	22	submitted	
2026-08-13.18:10:39	prometheus__prometheus-10633	Go	A	classified	S	S=57% E=5% T=27% B=11%	37	21.3	47	0.851	4	call-step-mismatch(51v47)	355.6	19.41	19.41	3.74	1.12	measurable	0.011	2498312	4341	51	submitted	
2026-08-13.18:50:27	projectlombok__lombok-3371	Java	J	classified	S	S=91% E=2% T=5% B=2%	279	3.8	290	0.986	1		2330.7	841.71	841.71	192.18	14.19	large	0.075	22445072	29631	292	submitted	
2026-08-13.19:02:19	phpoffice__phpspreadsheet-3570	PHP	I	classified	M	S=45% E=6% T=49% B=0%	51	40.0	85	0.741	13	E7-consecutive-loop,call-step-mismatch(96v85)	510.3	6.36	6.36	8.11	2.15	below-floor	0.011	2158098	7711	95		
2026-08-13.19:29:54	rubocop__rubocop-13424	Ruby	I	classified	S	S=65% E=4% T=31% B=0%	191	8.2	208	0.947	1		1604.3	124.09	124.09	81.97	8.47	large	0.07	12727308	22098	209	submitted	
2026-08-13.19:50:10	tokio-rs__tokio-6603	Rust	A	classified	S	S=59% E=5% T=36% B=0%	85	19.0	105	0.867	3		1087.7	1203.62	1203.62	14.32	3.15	large	0.589	3697660	4221	107	submitted	
2026-08-13.20:06:47	prometheus__prometheus-10720	Go	A	classified	S	S=77% E=12% T=10% B=2%	166	12.2	189	0.942	3	call-step-mismatch(195v189)	864.2	196.08	196.08	56.75	6.42	large	0.033	5145517	7990	195	submitted	
2026-08-13.20:25:04	projectlombok__lombok-3422	Java	J	classified	S	S=82% E=1% T=8% B=9%	143	12.3	163	0.957	2	call-step-mismatch(169v163)	977.5	445.42	445.42	37.68	5.11	large	0.09	5021242	8580	169	submitted	
2026-08-13.20:36:22	phpoffice__phpspreadsheet-3659	PHP	I	classified	S	S=60% E=3% T=35% B=2%	97	17.1	117	0.897	5	call-step-mismatch(124v117)	627.6	13.19	13.19	17.1	3.13	measurable	0.012	3885651	6220	124	submitted	
2026-08-13.20:48:16	rubocop__rubocop-13431	Ruby	I	classified	S	S=62% E=7% T=32% B=0%	60	9.1	66	0.924	1		599.7	25.59	25.59	4.72	1.57	measurable	0.036	931239	2809	67	submitted	
2026-08-13.20:55:42	tokio-rs__tokio-6724	Rust	A	classified	S	S=64% E=4% T=28% B=4%	25	16.7	30	0.933	1	call-step-mismatch(33v30)	383.5	25.5	25.5	1.58	0.69	measurable	0.028	261495	1374	33	submitted	
2026-08-13.21:09:52	prometheus__prometheus-11859	Go	A	classified	S	S=100% E=0% T=0% B=0%	122	3.9	127	0.874	12	E7-consecutive-loop,mechanism-not-witnessed	710.5	4.18	4.18	19.59	3.45	below-floor	0.0	4744545	19	128		
2026-08-13.21:29:03	projectlombok__lombok-3479	Java	J	classified	S	S=83% E=2% T=7% B=7%	167	7.2	180	0.95	2	call-step-mismatch(185v180)	1030.9	199.57	199.57	48.43	6.03	large	0.046	6219875	11089	185	submitted	
2026-08-13.21:43:51	phpoffice__phpspreadsheet-3903	PHP	I	classified	M	S=43% E=6% T=49% B=2%	84	12.5	96	0.917	3	call-step-mismatch(100v96)	835.6	60.38	60.38	10.91	2.7	large	0.062	2625908	4041	100	submitted	
2026-08-13.22:07:51	rubocop__rubocop-13479	Ruby	I	classified	S	S=71% E=6% T=24% B=0%	102	6.4	109	0.963	1	call-step-mismatch(112v109)	1323.6	54.45	54.45	14.11	3.55	measurable	0.039	2652584	5070	112	submitted	
2026-08-13.22:19:57	tokio-rs__tokio-6752	Rust	A	classified	S	S=69% E=5% T=23% B=3%	62	12.7	71	0.972	1	call-step-mismatch(74v71)	600.1	123.64	123.64	5.97	1.8	large	0.029	2238674	5992	74	submitted	
2026-08-13.22:39:13	prometheus__prometheus-12874	Go	A	classified	S	S=79% E=3% T=17% B=1%	72	28.7	101	0.812	15	E7-consecutive-loop,call-step-mismatch(114v101)	1000.7	90.66	90.66	15.32	3.44	large	0.048	5852199	13719	113		
2026-08-13.22:49:02	projectlombok__lombok-3486	Java	J	classified	S	S=98% E=2% T=0% B=0%	87	3.3	90	1.0	1		477.0	23.19	23.19	9.54	2.1	measurable	0.006	3001057	2090	91	submitted (exit_command_timeout)	
2026-08-13.23:01:36	phpoffice__phpspreadsheet-4114	PHP	I	classified	S	S=60% E=6% T=33% B=0%	63	24.1	83	0.819	7	call-step-mismatch(94v83)	704.5	4.81	4.81	8.16	2.31	below-floor	0.004	1778416	11849	94	submitted	
2026-08-13.23:06:52	rubocop__rubocop-13503	Ruby	I	classified	S	S=68% E=5% T=27% B=0%	37	7.5	40	0.95	1		256.7	23.66	23.66	1.92	0.78	measurable	0.083	450314	1887	42	submitted	
2026-08-13.23:11:59	tokio-rs__tokio-6838	Rust	A	classified	S	S=65% E=8% T=22% B=5%	37	9.8	41	0.976	1		181.7	24.29	24.29	1.81	0.71	measurable	0.053	285651	1232	42	submitted	
2026-08-13.23:30:05	prometheus__prometheus-13845	Go	A	classified	S	S=69% E=4% T=24% B=2%	120	18.4	147	0.884	4	call-step-mismatch(154v147)	1030.4	348.1	348.1	30.51	4.79	large	0.131	5784660	14890	154	submitted	
2026-08-13.23:34:37	projectlombok__lombok-3571	Java	J	classified	S	S=86% E=2% T=0% B=12%	42	0.0	42	1.0	1		220.8	15.42	15.42	2.03	0.79	measurable	0.016	381391	470	43	exit_command_timeout	
2026-08-13.23:44:20	phpoffice__phpspreadsheet-4186	PHP	I	classified	S	S=67% E=5% T=24% B=4%	78	20.4	98	0.898	5	call-step-mismatch(106v98)	531.0	40.56	40.56	10.69	2.45	measurable	0.014	2493128	6031	106	submitted	
2026-08-14.00:09:14	rubocop__rubocop-13560	Ruby	I	classified	S	S=88% E=3% T=8% B=0%	165	14.1	192	0.964	1	call-step-mismatch(195v192)	1445.9	39.42	39.42	54.18	6.89	measurable	0.017	5037422	3090	195	submitted	
2026-08-14.00:15:57	tokio-rs__tokio-7139	Rust	A	classified	S	S=61% E=17% T=19% B=3%	36	14.3	42	0.952	1		272.8	48.51	48.51	2.05	0.84	measurable	0.044	369340	1248	44	submitted	
2026-08-14.00:29:04	prometheus__prometheus-14861	Go	A	classified	S	S=76% E=5% T=8% B=11%	63	30.0	90	0.778	12	E7-consecutive-loop,call-step-mismatch(106v90)	640.4	294.01	294.01	10.01	2.7	large	0.134	2379038	9947	105		
2026-08-14.01:00:07	projectlombok__lombok-3594	Java	J	classified	S	S=84% E=3% T=6% B=8%	234	4.1	244	0.98	1	call-step-mismatch(247v244)	1807.6	1378.34	1378.34	124.76	10.96	large	0.162	15656570	11197	247	submitted	
2026-08-14.01:19:52	phpoffice__phpspreadsheet-4214	PHP	I	classified	M	S=54% E=1% T=45% B=0%	87	20.2	109	0.936	2	call-step-mismatch(114v109)	1067.0	42.04	42.04	16.15	3.55	measurable	0.036	4516705	8810	114	submitted	
2026-08-14.01:24:32	rubocop__rubocop-13579	Ruby	I	classified	S	S=55% E=17% T=28% B=0%	29	23.7	38	0.895	1		157.6	10.64	10.64	1.58	0.64	measurable	0.058	320870	1094	39	submitted	
2026-08-14.01:54:26	uutils__coreutils-6377	Rust	A	classified	S	S=79% E=9% T=6% B=6%	160	38.2	259	0.969	2		1726.2	104.22	104.22	136.83	11.19	large	0.018	17276646	21467	261	submitted	
2026-08-14.02:29:32	prometheus__prometheus-15142	Go	A	classified	S	S=78% E=4% T=13% B=5%	129	18.9	159	0.868	12	E7-consecutive-loop,call-step-mismatch(169v159)	1891.3	247.65	247.65	47.32	6.72	large	0.062	18096650	22569	168		
2026-08-14.02:51:29	projectlombok__lombok-3602	Java	J	classified	S	S=76% E=6% T=1% B=17%	123	7.5	133	0.97	1	call-step-mismatch(136v133)	1197.2	47.85	47.85	25.56	4.43	measurable	0.01	5230564	7474	136	submitted	
2026-08-14.03:32:13	phpoffice__phpspreadsheet-4313	PHP	I	classified	M	S=46% E=1% T=53% B=0%	130	15.0	153	0.876	13	E7-consecutive-loop,call-step-mismatch(166v153)	2241.6	30.72	30.72	42.62	7.03	measurable	0.011	11023573	49449	165		
2026-08-14.04:14:20	rubocop__rubocop-13627	Ruby	I	classified	T	S=21% E=0% T=79% B=0%	243	2.8	250	0.996	1		2401.7	111.05	111.05	122.39	11.55	large	0.041	11758454	339	251		
2026-08-14.04:26:26	uutils__coreutils-6575	Rust	A	classified	S	S=54% E=18% T=14% B=14%	72	27.3	99	0.879	1		585.7	180.98	180.98	11.52	2.58	large	0.104	2282631	3565	101	submitted	
2026-08-14.04:35:39	projectlombok__lombok-3674	Java	J	classified	S	S=91% E=2% T=0% B=7%	44	10.2	49	1.0	1		496.5	15.52	15.52	3.03	1.27	measurable	0.006	755564	1321	50	exit_command_timeout	
2026-08-14.04:48:49	rubocop__rubocop-13653	Ruby	I	classified	S	S=66% E=12% T=23% B=0%	93	8.8	102	0.961	1		667.4	53.46	53.46	12.5	2.68	measurable	0.071	2900937	3617	104	submitted	
2026-08-14.05:00:24	uutils__coreutils-6682	Rust	A	classified	S	S=57% E=9% T=19% B=15%	47	44.0	84	0.917	1		623.5	82.53	82.53	7.31	2.05	large	0.044	1344135	3604	85	submitted	
2026-08-14.05:11:18	projectlombok__lombok-3697	Java	J	classified	S	S=83% E=5% T=8% B=4%	93	3.1	96	0.979	1		609.3	58.26	58.26	11.24	2.39	measurable	0.019	3191797	1945	98	submitted (exit_command_timeout)	
2026-08-14.05:20:57	rubocop__rubocop-13680	Ruby	I	classified	M	S=48% E=3% T=48% B=0%	58	14.7	68	0.941	1		459.3	24.12	24.12	4.92	1.5	measurable	0.046	1399613	3165	69	submitted	
2026-08-14.05:28:05	uutils__coreutils-6690	Rust	A	classified	S	S=74% E=4% T=16% B=7%	57	18.6	70	0.957	1		357.5	77.01	77.01	4.79	1.45	large	0.11	959950	2128	72	submitted	
2026-08-14.05:40:06	reactivex__rxjava-7597	Java	J	classified	S	S=100% E=0% T=0% B=0%	117	6.4	125	0.872	14	E7-consecutive-loop	590.4	4.03	4.03	18.23	3.2	below-floor	0.001	3392673	259	126		
2026-08-14.06:23:40	rubocop__rubocop-13687	Ruby	I	classified	M	S=45% E=5% T=50% B=0%	175	18.2	214	0.963	1		2491.7	75.92	75.92	86.79	9.49	large	0.023	16987877	41638	215		
2026-08-14.06:28:51	uutils__coreutils-6731	Rust	A	classified	S	S=70% E=4% T=22% B=4%	27	27.0	37	0.946	1		174.9	55.75	55.75	1.62	0.67	measurable	0.069	255355	1448	39	submitted	
2026-08-14.06:35:50	rubocop__rubocop-13705	Ruby	I	classified	S	S=77% E=5% T=18% B=0%	60	6.2	64	0.938	1		373.9	21.16	21.16	4.16	1.32	measurable	0.05	1024948	1665	66	submitted	
2026-08-17.11:05:10	apache__lucene-13704	Java	J	classified	S	S=95% E=0% T=0% B=5%	38	5.0	40	1.0	1		2491.8	10.2	10.2	2.81	2.83	measurable	0.01	757661	849	41		
