when	instance	language	mech	status	realized	mix	support	other_pct	steps	uniq_frac	longest_run	flags	wall_s	tool_cs_raw	tool_cs_corr	harness_cs	proxy_cs	magnitude_bin	witness_cov	tokens_sent	tokens_received	api_calls	exit_status	detail
2026-08-12.01:52:15	micropython__micropython-13569	C	B	classified	S	S=95% E=2% T=0% B=3%	121	10.4	135	0.978	1		927.4	64.5	64.5	25.85	4.12	large	0.003	4708849	13152	137	submitted	
2026-08-12.02:08:45	caddyserver__caddy-6350	Go	A	classified	S	S=78% E=2% T=18% B=3%	116	12.8	133	0.955	2	call-step-mismatch(137v133)	934.0	189.3	189.3	28.12	4.39	large	0.032	9303279	9265	137	submitted	
2026-08-12.02:51:17	apache__lucene-13301	Java	J	classified	S	S=100% E=0% T=0% B=0%	65	8.5	71	0.986	2	call-step-mismatch(75v71)	2491.8	6.27	6.27	6.97	3.94	below-floor	0.001	1347663	449	74		
2026-08-12.03:12:30	mrdoob__three.js-26589	JavaScript	N	classified	S	S=92% E=5% T=2% B=1%	87	32.6	129	0.899	1		1179.0	17.72	17.72	25.29	4.28	measurable	0.005	7397689	25485	130	submitted	
2026-08-12.03:19:45	laravel__framework-48636	PHP	I	classified	S	S=74% E=2% T=22% B=2%	50	23.1	65	0.923	1	call-step-mismatch(68v65)	384.8	2.42	2.42	4.5	1.46	below-floor	0.001	539955	2358	68	submitted	
2026-08-12.03:40:21	fluent__fluentd-3608	Ruby	I	classified	S	S=88% E=1% T=10% B=0%	86	24.6	114	0.974	3		1181.5	303.82	303.82	16.72	3.58	large	0.272	4612219	2662	116	submitted	
2026-08-12.03:46:32	nushell__nushell-13246	Rust	A	classified	S	S=85% E=2% T=8% B=5%	40	13.0	46	0.913	1		273.3	40.31	40.31	2.61	0.95	measurable	0.109	697673	1683	48	submitted	
2026-08-12.04:02:17	micropython__micropython-15898	C	B	classified	S	S=69% E=11% T=9% B=11%	35	31.4	51	0.961	1	call-step-mismatch(54v51)	890.0	38.03	38.03	3.24	1.65	measurable	0.003	484653	3107	54	submitted	
2026-08-12.04:13:28	caddyserver__caddy-6370	Go	A	classified	S	S=79% E=3% T=15% B=3%	66	5.7	70	0.971	1		609.3	122.12	122.12	5.28	1.66	large	0.025	1411299	5890	71	submitted	
2026-08-12.04:40:54	apache__lucene-13494	Java	J	classified	S	S=82% E=5% T=10% B=3%	115	18.4	141	0.957	3	call-step-mismatch(145v141)	1573.3	172.22	172.22	28.24	4.93	large	0.802	6398992	6515	145	submitted	
2026-08-12.04:50:29	mrdoob__three.js-27395	JavaScript	N	classified	S	S=94% E=3% T=3% B=0%	65	14.5	76	0.987	1		483.9	10.68	10.68	11.0	1.67	measurable	0.006	1842147	2024	76	submitted	
2026-08-12.05:01:21	laravel__framework-51195	PHP	I	classified	M	S=53% E=3% T=44% B=0%	36	39.0	59	0.746	12	E7-consecutive-loop,call-step-mismatch(69v59),mechanism-not-witnessed	520.3	2.94	2.94	3.84	1.52	below-floor	0.0	1257490	7281	68		
2026-08-12.05:13:33	fluent__fluentd-3616	Ruby	I	classified	S	S=84% E=15% T=2% B=0%	55	15.4	65	0.954	1		686.7	8.95	8.95	4.76	1.69	below-floor	0.171	1621131	2462	65	submitted	
2026-08-12.05:56:01	nushell__nushell-13605	Rust	A	classified	S	S=100% E=0% T=0% B=0%	438	0.5	440	0.059	413	E7-consecutive-loop,E7-cyclic-loop,mechanism-not-witnessed	2401.8	13.44	13.44	538.95	26.21	measurable	0.0	11612980	14	441		
2026-08-12.06:05:58	redis__redis-10068	C	B	classified	S	S=82% E=2% T=4% B=12%	51	16.4	61	0.951	1		543.0	37.41	37.41	4.2	1.44	measurable	0.035	1540029	3224	61	submitted	
2026-08-12.06:18:31	caddyserver__caddy-6411	Go	A	classified	S	S=69% E=2% T=28% B=2%	58	32.6	86	0.779	13	E7-consecutive-loop,call-step-mismatch(98v86)	590.3	207.04	207.04	9.09	2.4	large	0.054	3244847	9547	97		
2026-08-12.06:30:40	preactjs__preact-2757	JavaScript	N	classified	S	S=92% E=6% T=2% B=0%	99	10.8	111	0.964	1		664.3	66.81	66.81	16.41	2.91	large	0.056	5577869	6200	112	submitted	
2026-08-12.06:45:18	laravel__framework-52451	PHP	I	classified	S	S=61% E=1% T=36% B=2%	110	18.5	135	0.859	5	call-step-mismatch(144v135)	830.8	10.89	10.89	24.54	4.04	measurable	0.015	4410707	15243	144	submitted	
2026-08-12.06:56:03	fluent__fluentd-3631	Ruby	I	classified	S	S=52% E=12% T=36% B=0%	69	16.9	83	0.94	1		597.9	14.12	14.12	8.18	2.03	measurable	0.124	2908800	4236	84	submitted	
2026-08-12.07:05:04	nushell__nushell-13831	Rust	A	classified	S	S=63% E=9% T=19% B=9%	43	42.7	75	0.933	1		432.2	289.93	289.93	5.84	1.63	large	0.192	1328339	2746	77	submitted	
2026-08-12.07:11:11	redis__redis-10095	C	B	classified	S	S=92% E=5% T=0% B=3%	39	40.0	65	0.877	1		319.4	5.47	5.47	4.15	1.27	below-floor	0.003	1145897	2630	66	submitted	
2026-08-12.07:27:14	gin-gonic__gin-1805	Go	A	classified	S	S=69% E=2% T=27% B=2%	83	13.5	96	0.969	1	call-step-mismatch(99v96)	917.4	76.25	76.25	13.04	2.94	large	0.023	4254439	10719	99	submitted	
2026-08-12.07:40:13	google__gson-1014	Java	J	classified	S	S=77% E=5% T=12% B=7%	60	16.7	72	0.917	2	call-step-mismatch(77v72)	727.0	160.05	160.05	6.3	2.04	large	0.034	1226043	4672	77	submitted	
2026-08-12.07:51:11	preactjs__preact-2896	JavaScript	N	classified	S	S=96% E=3% T=1% B=0%	69	24.2	91	0.956	1		595.4	61.49	61.49	10.9	2.34	large	0.058	4560554	3623	93	submitted	
2026-08-12.08:06:21	laravel__framework-52680	PHP	I	classified	S	S=76% E=4% T=19% B=0%	68	20.0	85	0.847	12	E7-consecutive-loop,call-step-mismatch(94v85),mechanism-not-witnessed	770.5	2.74	2.74	7.89	2.39	below-floor	0.0	2001783	4423	92		
2026-08-12.08:34:04	fluent__fluentd-3640	Ruby	I	classified	S	S=81% E=3% T=16% B=0%	63	22.2	81	0.926	1		1612.7	94.67	94.67	8.54	3.02	large	0.059	2310069	15814	82	submitted (exit_command_timeout)	
2026-08-12.08:48:01	sharkdp__bat-1892	Rust	A	classified	S	S=75% E=14% T=7% B=4%	85	15.0	100	0.99	1		781.9	97.23	97.23	12.91	2.71	large	0.061	4349121	3333	101	submitted (exit_error)	
2026-08-12.08:59:16	redis__redis-10764	C	B	classified	S	S=79% E=15% T=2% B=4%	47	33.8	71	0.93	1		613.9	15.87	15.87	5.42	1.83	measurable	0.003	1774107	3490	72	submitted	
2026-08-12.09:16:55	gin-gonic__gin-1957	Go	A	classified	S	S=74% E=8% T=16% B=2%	90	15.9	107	0.86	3	call-step-mismatch(113v107)	1012.9	28.57	28.57	13.76	3.19	measurable	0.006	3015224	6237	113	submitted	
2026-08-12.09:30:16	google__gson-1093	Java	J	classified	S	S=60% E=2% T=2% B=35%	48	18.6	59	0.898	2		683.2	38.64	38.64	4.1	1.63	measurable	0.009	1270719	2805	60	submitted	
2026-08-12.09:44:30	preactjs__preact-2927	JavaScript	N	classified	S	S=88% E=6% T=6% B=0%	80	12.1	91	0.978	1		783.2	39.79	39.79	10.13	2.51	measurable	0.024	3685865	3827	93	submitted	
2026-08-12.09:59:58	laravel__framework-52684	PHP	I	classified	M	S=51% E=2% T=42% B=5%	43	34.8	66	0.727	6	call-step-mismatch(81v66)	811.4	5.93	5.93	5.4	2.14	below-floor	0.001	1273226	9985	81	submitted	
2026-08-12.10:11:08	fluent__fluentd-3641	Ruby	I	classified	S	S=82% E=11% T=7% B=0%	56	28.2	78	0.923	1		615.8	8.07	8.07	7.22	2.01	below-floor	0.025	1959192	3429	80	submitted	
2026-08-12.10:47:39	sharkdp__bat-2201	Rust	A	classified	S	S=79% E=3% T=12% B=6%	131	7.1	141	0.979	1		2064.1	115.5	115.5	30.59	5.69	large	0.347	7469498	18613	142	submitted	
2026-08-12.11:06:46	redis__redis-11279	C	B	classified	S	S=87% E=10% T=0% B=3%	92	34.3	140	0.943	1	call-step-mismatch(143v140)	1014.2	15.37	15.37	26.68	4.28	measurable	0.002	6417138	11061	143	submitted	
2026-08-12.11:13:14	gin-gonic__gin-2121	Go	A	classified	S	S=53% E=10% T=33% B=3%	30	23.1	39	0.846	2	call-step-mismatch(43v39)	262.4	18.83	18.83	1.81	0.83	measurable	0.019	298293	2383	43	submitted	
2026-08-12.11:19:40	google__gson-1100	Java	J	classified	S	S=78% E=2% T=4% B=17%	54	15.6	64	0.984	1		327.1	27.15	27.15	4.14	1.28	measurable	0.011	1111929	1803	65	submitted	
2026-08-12.11:36:07	preactjs__preact-3010	JavaScript	N	classified	S	S=78% E=8% T=14% B=0%	121	12.3	138	0.92	1		919.0	61.85	61.85	28.41	4.21	large	0.036	8746618	6147	138	submitted	
2026-08-12.11:45:37	laravel__framework-52866	PHP	I	classified	S	S=53% E=5% T=42% B=0%	43	31.7	63	0.683	14	E7-consecutive-loop,call-step-mismatch(72v63)	360.2	3.21	3.21	3.99	1.43	below-floor	0.006	907626	3974	71		
2026-08-12.11:57:48	fluent__fluentd-3917	Ruby	I	classified	S	S=80% E=5% T=15% B=0%	65	13.3	75	0.973	1		672.6	10.81	10.81	6.21	2.02	measurable	0.053	1331075	3013	76	submitted	
2026-08-12.12:19:25	sharkdp__bat-2260	Rust	A	classified	S	S=68% E=5% T=19% B=8%	85	19.0	105	0.952	1		1235.1	104.49	104.49	14.83	3.64	large	0.069	3813002	5754	105	submitted	
2026-08-12.12:32:47	redis__redis-11510	C	B	classified	S	S=89% E=4% T=0% B=7%	75	21.1	95	0.916	1		670.5	74.67	74.67	9.49	2.43	large	0.085	1941681	1767	97	submitted	
2026-08-12.12:46:45	gin-gonic__gin-2755	Go	A	classified	S	S=81% E=2% T=15% B=2%	100	16.7	120	0.875	7	call-step-mismatch(131v120)	787.3	73.83	73.83	22.18	4.09	large	0.027	4767830	10718	131	submitted	
2026-08-12.13:01:26	google__gson-2024	Java	J	classified	S	S=69% E=2% T=10% B=19%	52	38.8	85	0.765	13	E7-consecutive-loop,call-step-mismatch(99v85)	660.4	131.89	131.89	8.91	2.56	large	0.032	1514849	8944	98		
2026-08-12.13:10:48	preactjs__preact-3062	JavaScript	N	classified	S	S=87% E=5% T=7% B=0%	55	21.4	70	0.943	1		492.2	23.83	23.83	5.5	1.65	measurable	0.025	1870728	2290	71	submitted	
2026-08-12.13:30:21	laravel__framework-53206	PHP	I	classified	S	S=62% E=2% T=35% B=0%	80	27.9	111	0.784	12	E7-consecutive-loop,call-step-mismatch(130v111)	970.7	6.15	6.15	15.13	3.68	below-floor	0.012	2467046	13643	129		
2026-08-12.13:47:57	fluent__fluentd-4030	Ruby	I	classified	S	S=100% E=0% T=0% B=0%	78	20.4	98	0.857	12	E7-consecutive-loop,call-step-mismatch(102v98),mechanism-not-witnessed	910.6	7.22	7.22	11.69	3.01	below-floor	0.0	3218827	33	101		
2026-08-12.14:00:55	sharkdp__bat-2393	Rust	A	classified	S	S=66% E=14% T=11% B=9%	64	30.4	92	0.913	1		653.6	103.98	103.98	9.76	2.43	large	0.09	2255517	4918	94	submitted	
2026-08-12.14:24:52	redis__redis-11631	C	B	classified	S	S=62% E=12% T=4% B=22%	85	19.8	106	0.972	1		1377.3	466.74	466.74	15.05	3.65	large	0.137	4595508	4563	107	submitted	
2026-08-12.14:49:26	gin-gonic__gin-3227	Go	A	classified	S	S=74% E=3% T=23% B=0%	103	22.0	132	0.826	12	E7-consecutive-loop,call-step-mismatch(140v132)	1270.9	56.05	56.05	25.45	4.57	measurable	0.012	7564040	40218	139		
2026-08-12.14:54:59	google__gson-2134	Java	J	classified	S	S=64% E=6% T=14% B=17%	36	26.5	49	0.878	1		213.4	60.44	60.44	2.63	0.9	large	0.059	583671	1949	51	submitted	
2026-08-12.15:13:44	preactjs__preact-3345	JavaScript	N	classified	S	S=96% E=3% T=1% B=0%	106	16.5	127	0.992	1		1055.4	77.24	77.24	31.18	4.31	large	0.035	16827308	9842	129	submitted	
